Sr.,Stock Name,Symbol,Links,% Chg,Price,Volume
100,Max Financial Services Limited,MFSL,P&F | F.A,-0.0024,806.1,144695
158,Aditya Birla Fashion And Retail Limited,ABFRL,P&F | F.A,-0.0024,210.1,568280
37,Titan Company Limited,TITAN,P&F | F.A,-0.0025,3091.95,395244
98,TATA Consumer Products Ltd,TATACONSUM,P&F | F.A,-0.0028000000000000004,843.55,1083975
19,Coforge (Niit Tech),COFORGE,P&F | F.A,-0.0029,4711.9,37788
34,Tata Consultancy Services Limited,TCS,P&F | F.A,-0.003,3310.0,789654
21,Info Edge (india) Limited,NAUKRI,P&F | F.A,-0.0032,4426.95,64600
40,Hindustan Unilever Limited,HINDUNILVR,P&F | F.A,-0.0032,2746.9,537081
52,Deepak Nitrite Limited,DEEPAKNTR,P&F | F.A,-0.0032,2124.25,138072
79,Muthoot Finance Limited,MUTHOOTFIN,P&F | F.A,-0.0032,1256.05,83292
18,Persistent Systems Limited,PERSISTENT,P&F | F.A,-0.0034000000000000002,4839.95,143089
26,Pi Industries Limited,PIIND,P&F | F.A,-0.0034000000000000002,3843.9,80480
59,Shriram Finance Ltd,SHRIRAMFIN,P&F | F.A,-0.0034999999999999996,1796.0,290986
58,Acc Limited,ACC,P&F | F.A,-0.0036,1814.2,115800
184,Steel Authority Of India Limited,SAIL,P&F | F.A,-0.004,87.7,4744799
74,Infosys Limited,INFY,P&F | F.A,-0.0043,1341.5,3162709
55,Mphasis Limited,MPHASIS,P&F | F.A,-0.0045000000000000005,1873.55,159277
76,Tvs Motor Company Limited,TVSMOTOR,P&F | F.A,-0.0045000000000000005,1313.85,507439
166,Rural Electrification Corporation Limited,RECLTD,P&F | F.A,-0.0045000000000000005,165.75,3991064
168,Ashok Leyland Limited,ASHOKLEY,P&F | F.A,-0.0048,164.35,3222163
159,Bank Of Baroda,BANKBARODA,P&F | F.A,-0.0049,204.2,8652885
24,L&t Technology Services Limited,LTTS,P&F | F.A,-0.0054,3984.3,59186
29,Hindustan Aeronautics Ltd,HAL,P&F | F.A,-0.005600000000000001,3714.1,412263
171,L&t Finance Holdings Limited,L&TFH,P&F | F.A,-0.0060999999999999995,130.75,4519745
15,LTI Mindtree Ltd,LTIM,P&F | F.A,-0.0062,5209.7,176743
97,Bharat Forge Limited,BHARATFORG,P&F | F.A,-0.0062,849.5,425593
120,Dabur India Limited,DABUR,P&F | F.A,-0.006500000000000001,588.6,678190
180,Nmdc Limited,NMDC,P&F | F.A,-0.006500000000000001,106.8,3860219
3,Page Industries Limited,PAGEIND,P&F | F.A,-0.0066,36477.45,13591
129,Itc Limited,ITC,P&F | F.A,-0.0068000000000000005,471.85,4858548
